class,code,name,prof,time,grade,score,number
전공핵심,ADD2007-45,건축설계스튜디오2,변승용,화13:30-14:45【22529】 화15:00-16:15【22529】 화16:30-17:45【22529】 화18:00-19:10【22529】 금13:30-14:45【22529】 금15:00-16:15【22529】 금16:30-17:45【22529】 금18:00-19:10【22529】,6,0,19
전공일반,ADD2015-41,단지계획,김도년,금09:00-10:15【22110】 금10:30-11:45【22110】,3,4,44
전공핵심,ADD2033-41,건축종합설계스튜디오4,이중원,월13:30-14:45【22525】 월15:00-16:15【22525】 월16:30-17:45【22525】 월18:00-19:10【22525】 목13:30-14:45【22525】 목15:00-16:15【22525】 목16:30-17:45【22525】 목18:00-19:10【22525】,6,0,11
전공핵심,ADD2033-42,건축종합설계스튜디오4,토스텐슛제,월13:30-14:45【22526】 월15:00-16:15【22526】 월16:30-17:45【22526】 월18:00-19:10【22526】 목13:30-14:45【22526】 목15:00-16:15【22526】 목16:30-17:45【22526】 목18:00-19:10【22526】,6,3.5,6
전공핵심,ADD2033-44,건축종합설계스튜디오4,이원석,월13:30-14:45【22528】 월15:00-16:15【22528】 월16:30-17:45【22528】 월18:00-19:10【22528】 목13:30-14:45【22528】 목15:00-16:15【22528】 목16:30-17:45【22528】 목18:00-19:10【22528】,6,0,13
전공일반,ADD3014-41,환경친화건축,토스텐슛제,수09:00-10:15【26312】 수10:30-11:45【26312】【1h(ON)+3h(OFF)[4시간]】,3,2.29,42
전공핵심,ADD3016-41,건축설계스튜디오8,이한종,월13:30-14:45【22530】 월15:00-16:15【22530】 월16:30-17:45【22530】 월18:00-19:10【22530】 목13:30-14:45【22530】 목15:00-16:15【22530】 목16:30-17:45【22530】 목18:00-19:10【22530】,6,0,4
전공핵심,ADD3016-42,건축설계스튜디오8,김우영,월13:30-14:45【22501】 월15:00-16:15【22501】 월16:30-17:45【22501】 월18:00-19:10【22501】 목13:30-14:45【22501】 목15:00-16:15【22501】 목16:30-17:45【22501】 목18:00-19:10【22501】,6,1,5
전공핵심,ADD3016-44,건축설계스튜디오8,황정헌,월13:30-14:45【22522】 월15:00-16:15【22522】 월16:30-17:45【22522】 월18:00-19:10【22522】 목13:30-14:45【22522】 목15:00-16:15【22522】 목16:30-17:45【22522】 목18:00-19:10【22522】,6,0,7
전공핵심,ADD3016-45,건축설계스튜디오8,전이서,월13:30-14:45【22531】 월15:00-16:15【22531】 월16:30-17:45【22531】 월18:00-19:10【22531】 목13:30-14:45【22531】 목15:00-16:15【22531】 목16:30-17:45【22531】 목18:00-19:10【22531】,6,0,8
전공일반,ADD3042-41,건축실무1,이동균,수18:00-19:15【26110】 수19:30-20:45【26110】,3,4.5,36
전공핵심,ADD3051-42,건축종합설계스튜디오6,고성민,화13:30-14:45【22501】 화15:00-16:15【22501】 화16:30-17:45【22501】 화18:00-19:10【22501】 금13:30-14:45【22501】 금15:00-16:15【22501】 금16:30-17:45【22501】 금18:00-19:10【22501】,6,0,14
전공핵심,ADD3051-43,건축종합설계스튜디오6,경민호,화13:30-14:45【22532】 화15:00-16:15【22532】 화16:30-17:45【22532】 화18:00-19:10【22532】 금13:30-14:45【22532】 금15:00-16:15【22532】 금16:30-17:45【22532】 금18:00-19:10【22532】,6,0,1
전공핵심,ADD3051-44,건축종합설계스튜디오6,현승헌,화13:30-14:45【22531】 화15:00-16:15【22531】 화16:30-17:45【22531】 화18:00-19:10【22531】 금13:30-14:45【22531】 금15:00-16:15【22531】 금16:30-17:45【22531】 금18:00-19:10【22531】,6,4,5
전공핵심,ADD3051-45,건축종합설계스튜디오6,강해천,화13:30-14:45【22534】 화15:00-16:15【22534】 화16:30-17:45【22534】 화18:00-19:10【22534】 금13:30-14:45【22534】 금15:00-16:15【22534】 금16:30-17:45【22534】 금18:00-19:10【22534】,6,0,7
전공일반,CHS2015-41,[도전학기] 인공지능기반뇌과학융합기술,남창수,화13:00-13:50【미지정】 화14:00-14:50【미지정】 화15:00-15:50【미지정】 화16:00-16:50【미지정】 목13:00-13:50【미지정】 목14:00-14:50【미지정】 목15:00-15:50【미지정】 목16:00-16:50【미지정】,3,2.42,0
전공일반,EAM3048-42,나노신소재,황동목,월12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,3,4.08,48
전공(대학원)/전공,EAM7001-41,플라즈마공정및장비,염근영,월12:00-13:15【23219】 월13:30-14:45【23219】,3,4.02,38
전공일반,ECH2018-41,공업물리화학2,김재윤,수10:30-11:45【23217】【1.5h(ON)+1.5h(OFF)】,3,4.45,76
전공일반,ECH2018-42,공업물리화학2,이준영,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,3,4.78,81
전공일반,ECH2020-41,공업유기화학2,김수찬,화13:30-14:45【26507】 목12:00-13:15【26507】,3,0,31
전공일반,ECH2022-41,고체화학공학,조새벽,월16:30-17:45【26308】 수15:00-16:15【26308】,3,4.92,31
전공일반,ECH2024-41,공업생화학,엄숭호,화12:00-13:15【26308】 목13:30-14:45【26308】,3,3.24,20
전공핵심,ECH2032-42,화공열및물질전달,권석준,수13:30-14:45【26505】【1.5h(ON)+1.5h(OFF)】,3,4.4,40
전공핵심,ECH2032-44,화공열및물질전달,김덕준,월09:00-10:15【26308】 수10:30-11:45【26308】,3,3.7,73
전공일반,ECH2033-41,고분자공학입문,박성준,화12:00-13:15【26507】 목13:30-14:45【26507】,3,0,66
전공일반,ECH2033-42,고분자공학입문,배진영,월12:00-13:15【26502】 수13:30-14:45【26502】,3,4.52,69
전공일반,ECH2033-43,고분자공학입문,이준영,목15:00-16:15【26308】【1.5h(ON)+1.5h(OFF)】,3,4.77,67
전공일반,ECH3016-41,분리공정,조성민,화10:30-11:45【26507】 목09:00-10:15【26507】,3,4.77,29
실험실습,ECH3024-41,화학공학실험1,조수연,월18:00-18:50【24208】 월19:00-19:50【24208】 월20:00-20:50【24208】 월21:00-21:45【24208】,2,4.95,28
실험실습,ECH3024-42,화학공학실험1,정찬화,화18:00-18:50【24208】 화19:00-19:50【24208】 화20:00-20:50【24208】 화21:00-21:45【24208】,2,4.21,31
